Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,148.962500,-45.000000,180.000000,bottom
C2,1u,C_0603_1608Metric,148.287500,-50.250000,0.000000,bottom
C3,100n,C_0603_1608Metric,149.000000,-64.212500,90.000000,bottom
C4,20p,C_0603_1608Metric,158.250000,-67.462500,270.000000,bottom
C5,20p,C_0603_1608Metric,150.000000,-67.712500,90.000000,bottom
C6,100n,C_0603_1608Metric,159.037500,-61.750000,0.000000,bottom
C7,100n,C_0603_1608Metric,147.750000,-54.037500,270.000000,bottom
C8,100n,C_0603_1608Metric,157.462500,-50.750000,180.000000,bottom
C9,100n,C_0603_1608Metric,160.787500,-59.500000,0.000000,bottom
C10,1u,C_0603_1608Metric,152.037500,-64.750000,0.000000,bottom
C11,100n,C_0603_1608Metric,152.037500,-63.250000,0.000000,bottom
C12,10u,C_0603_1608Metric,148.287500,-51.750000,0.000000,bottom
D_0,D,D_SOD-123,16.500000,-0.150000,90.000000,bottom
D_1,D,D_SOD-123,39.500000,-2.650000,90.000000,bottom
D_2,D,D_SOD-123,58.500000,-2.150000,90.000000,bottom
D_3,D,D_SOD-123,77.500000,-0.150000,90.000000,bottom
D_4,D,D_SOD-123,97.500000,-5.850000,90.000000,bottom
D_5,D,D_SOD-123,116.000000,-9.650000,90.000000,bottom
D_6,D,D_SOD-123,135.000000,-13.650000,90.000000,bottom
D_7,D,D_SOD-123,153.000000,-17.150000,90.000000,bottom
D_8,D,D_SOD-123,181.500000,-13.150000,90.000000,bottom
D_9,D,D_SOD-123,200.000000,-8.500000,90.000000,bottom
D_10,D,D_SOD-123,218.500000,-4.650000,90.000000,bottom
D_11,D,D_SOD-123,237.500000,-0.650000,90.000000,bottom
D_12,D,D_SOD-123,258.000000,-0.150000,90.000000,bottom
D_13,D,D_SOD-123,276.500000,-1.650000,90.000000,bottom
D_14,D,D_SOD-123,279.500000,-1.650000,90.000000,bottom
D_15,D,D_SOD-123,12.500000,-19.150000,90.000000,bottom
D_16,D,D_SOD-123,41.000000,-21.150000,90.000000,bottom
D_17,D,D_SOD-123,64.000000,-21.650000,90.000000,bottom
D_18,D,D_SOD-123,84.500000,-22.150000,90.000000,bottom
D_19,D,D_SOD-123,103.000000,-26.150000,90.000000,bottom
D_20,D,D_SOD-123,121.500000,-30.650000,90.000000,bottom
D_21,D,D_SOD-123,140.500000,-34.150000,90.000000,bottom
D_22,D,D_SOD-123,176.500000,-33.150000,90.000000,bottom
D_23,D,D_SOD-123,195.000000,-29.150000,90.000000,bottom
D_24,D,D_SOD-123,214.000000,-25.650000,90.000000,bottom
D_25,D,D_SOD-123,232.500000,-21.650000,90.000000,bottom
D_26,D,D_SOD-123,252.500000,-20.150000,90.000000,bottom
D_27,D,D_SOD-123,271.500000,-21.150000,90.000000,bottom
D_28,D,D_SOD-123,291.000000,-21.150000,90.000000,bottom
D_29,D,D_SOD-123,315.000000,-1.650000,90.000000,bottom
D_30,D,D_SOD-123,8.500000,-38.150000,90.000000,bottom
D_31,D,D_SOD-123,39.500000,-40.150000,90.000000,bottom
D_32,D,D_SOD-123,64.500000,-40.150000,90.000000,bottom
D_33,D,D_SOD-123,85.000000,-41.650000,90.000000,bottom
D_34,D,D_SOD-123,104.000000,-46.150000,90.000000,bottom
D_35,D,D_SOD-123,122.500000,-49.650000,90.000000,bottom
D_36,D,D_SOD-123,141.000000,-53.650000,90.000000,bottom
D_37,D,D_SOD-123,185.000000,-50.650000,90.000000,bottom
D_38,D,D_SOD-123,203.500000,-46.650000,90.000000,bottom
D_39,D,D_SOD-123,222.000000,-42.650000,90.000000,bottom
D_40,D,D_SOD-123,241.000000,-38.650000,90.000000,bottom
D_41,D,D_SOD-123,261.500000,-40.650000,90.000000,bottom
D_42,D,D_SOD-123,280.500000,-40.650000,90.000000,bottom
D_43,D,D_SOD-123,323.500000,-39.650000,90.000000,bottom
D_44,D,D_SOD-123,314.000000,-21.150000,90.000000,bottom
D_45,D,D_SOD-123,51.000000,-59.650000,90.000000,bottom
D_46,D,D_SOD-123,70.000000,-59.650000,90.000000,bottom
D_47,D,D_SOD-123,90.000000,-62.150000,90.000000,bottom
D_48,D,D_SOD-123,109.000000,-66.650000,90.000000,bottom
D_49,D,D_SOD-123,127.500000,-70.150000,90.000000,bottom
D_50,D,D_SOD-123,146.000000,-74.150000,90.000000,bottom
D_51,D,D_SOD-123,179.500000,-71.650000,90.000000,bottom
D_52,D,D_SOD-123,198.000000,-67.650000,90.000000,bottom
D_53,D,D_SOD-123,217.000000,-63.650000,90.000000,bottom
D_54,D,D_SOD-123,235.500000,-59.650000,90.000000,bottom
D_55,D,D_SOD-123,256.000000,-59.150000,90.000000,bottom
D_56,D,D_SOD-123,275.500000,-59.150000,90.000000,bottom
D_57,D,D_SOD-123,278.000000,-59.150000,90.000000,bottom
D_58,D,D_SOD-123,32.000000,-78.350000,90.000000,bottom
D_59,D,D_SOD-123,85.500000,-82.150000,90.000000,bottom
D_60,D,D_SOD-123,132.000000,-90.850000,90.000000,bottom
D_61,D,D_SOD-123,151.500000,-94.650000,90.000000,bottom
D_62,D,D_SOD-123,213.500000,-82.650000,90.000000,bottom
D_63,D,D_SOD-123,240.500000,-79.650000,90.000000,bottom
D_64,D,D_SOD-123,319.500000,-78.350000,90.000000,bottom
D_65,D,D_SOD-123,280.500000,-59.150000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,155.000000,0.850000,90.000000,bottom
R1,5.1k,R_0603_1608Metric,164.712500,5.500000,180.000000,bottom
R2,5.1k,R_0603_1608Metric,154.287500,5.500000,0.000000,bottom
R3,1.5k,R_0603_1608Metric,160.250000,-47.212500,90.000000,bottom
R4,10k,R_0603_1608Metric,163.250000,-57.537500,270.000000,bottom
U1,XC6206P332MR,SOT-23,148.250000,-47.750000,270.0,bottom
U2,SRV05-4,SOT-23-6,159.000000,1.750000,270.0,bottom
U3,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,154.000000,-57.000000,180.0,bottom
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,154.150000,-67.500000,180.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-jlc,159.369999,16.250000,180.000000,top
